TAXON_ORDER,CATEGORY,SPECIES_CODE,PRIMARY_COM_NAME,SCI_NAME,ORDER1,FAMILY,SPECIES_GROUP,REPORT_AS
4693,hybrid,x00619,Anna's x Calliope Hummingbird (hybrid),Calypte anna x Selasphorus calliope,Caprimulgiformes,Trochilidae (Hummingbirds),,
4694,hybrid,x00851,Broad-tailed x Calliope Hummingbird (hybrid),Selasphorus platycercus x calliope,Caprimulgiformes,Trochilidae (Hummingbirds),,
4695,hybrid,x00852,Rufous x Calliope Hummingbird (hybrid),Selasphorus rufus x calliope,Caprimulgiformes,Trochilidae (Hummingbirds),,
4696,spuh,selasp,Selasphorus sp.,Selasphorus sp.,Caprimulgiformes,Trochilidae (Hummingbirds),,
4697,hybrid,x00739,Anna's Hummingbird x Selasphorus sp. (hybrid),Calypte anna x Selasphorus sp.,Caprimulgiformes,Trochilidae (Hummingbirds),,
4698,species,weseme1,Western Emerald,Chlorostilbon melanorhynchus,Caprimulgiformes,Trochilidae (Hummingbirds),,
4701,species,rebeme1,Red-billed Emerald,Chlorostilbon gibsoni,Caprimulgiformes,Trochilidae (Hummingbirds),,
4705,species,blteme1,Blue-tailed Emerald,Chlorostilbon mellisugus,Caprimulgiformes,Trochilidae (Hummingbirds),,
4712,species,goceme1,Golden-crowned Emerald,Chlorostilbon auriceps,Caprimulgiformes,Trochilidae (Hummingbirds),,
4713,species,cozeme1,Cozumel Emerald,Chlorostilbon forficatus,Caprimulgiformes,Trochilidae (Hummingbirds),,
4714,species,caneme1,Canivet's Emerald,Chlorostilbon canivetii,Caprimulgiformes,Trochilidae (Hummingbirds),,
4715,issf,caneme2,Canivet's Emerald (Canivet's),Chlorostilbon canivetii canivetii,Caprimulgiformes,Trochilidae (Hummingbirds),,caneme1
4716,issf,caneme3,Canivet's Emerald (Salvin's),Chlorostilbon canivetii salvini/osberti,Caprimulgiformes,Trochilidae (Hummingbirds),,caneme1
4719,species,gareme1,Garden Emerald,Chlorostilbon assimilis,Caprimulgiformes,Trochilidae (Hummingbirds),,
4720,species,chieme1,Chiribiquete Emerald,Chlorostilbon olivaresi,Caprimulgiformes,Trochilidae (Hummingbirds),,
4721,species,cubeme1,Cuban Emerald,Chlorostilbon ricordii,Caprimulgiformes,Trochilidae (Hummingbirds),,
4722,species,braeme1,Brace's Emerald,Chlorostilbon bracei,Caprimulgiformes,Trochilidae (Hummingbirds),,
4723,issf,braeme2,Brace's Emerald (Brace's),Chlorostilbon bracei bracei,Caprimulgiformes,Trochilidae (Hummingbirds),,braeme1
4724,issf,braeme3,Brace's Emerald (Caribbean),Chlorostilbon bracei elegans,Caprimulgiformes,Trochilidae (Hummingbirds),,braeme1
4725,species,hiseme1,Hispaniolan Emerald,Chlorostilbon swainsonii,Caprimulgiformes,Trochilidae (Hummingbirds),,
4726,species,pureme1,Puerto Rican Emerald,Chlorostilbon maugaeus,Caprimulgiformes,Trochilidae (Hummingbirds),,
4727,species,glbeme1,Glittering-bellied Emerald,Chlorostilbon lucidus,Caprimulgiformes,Trochilidae (Hummingbirds),,
4732,species,copeme1,Coppery Emerald,Chlorostilbon russatus,Caprimulgiformes,Trochilidae (Hummingbirds),,
4733,species,nateme2,Narrow-tailed Emerald,Chlorostilbon stenurus,Caprimulgiformes,Trochilidae (Hummingbirds),,
4736,species,grteme1,Green-tailed Emerald,Chlorostilbon alice,Caprimulgiformes,Trochilidae (Hummingbirds),,
4737,species,shteme1,Short-tailed Emerald,Chlorostilbon poortmani,Caprimulgiformes,Trochilidae (Hummingbirds),,
4740,spuh,chloro2,Chlorostilbon sp.,Chlorostilbon sp.,Caprimulgiformes,Trochilidae (Hummingbirds),,
4741,species,bucsap1,Blue-chinned Sapphire,Chlorestes notata,Caprimulgiformes,Trochilidae (Hummingbirds),,
4745,species,dushum1,Dusky Hummingbird,Cynanthus sordidus,Caprimulgiformes,Trochilidae (Hummingbirds),,
4746,species,brbhum,Broad-billed Hummingbird,Cynanthus latirostris,Caprimulgiformes,Trochilidae (Hummingbirds),,
4747,issf,brbhum1,Broad-billed Hummingbird (Northern),Cynanthus latirostris [latirostris Group],Caprimulgiformes,Trochilidae (Hummingbirds),,brbhum
4751,issf,brbhum2,Broad-billed Hummingbird (Doubleday's),Cynanthus latirostris doubledayi,Caprimulgiformes,Trochilidae (Hummingbirds),,brbhum
4752,issf,brbhum3,Broad-billed Hummingbird (Tres Marias Is.),Cynanthus latirostris lawrencei,Caprimulgiformes,Trochilidae (Hummingbirds),,brbhum
4753,hybrid,x00676,Black-chinned x Broad-billed Hummingbird (hybrid),Archilochus alexandri x Cynanthus latirostris,Caprimulgiformes,Trochilidae (Hummingbirds),,
4754,species,blhhum1,Blue-headed Hummingbird,Cyanophaia bicolor,Caprimulgiformes,Trochilidae (Hummingbirds),,
4755,species,anchum1,Antillean Crested Hummingbird,Orthorhyncus cristatus,Caprimulgiformes,Trochilidae (Hummingbirds),,
4756,issf,anchum2,Antillean Crested Hummingbird (Lesser Antilles),Orthorhyncus cristatus exilis,Caprimulgiformes,Trochilidae (Hummingbirds),,anchum1
4757,issf,anchum3,Antillean Crested Hummingbird (St. Vincent),Orthorhyncus cristatus ornatus,Caprimulgiformes,Trochilidae (Hummingbirds),,anchum1
4758,issf,anchum4,Antillean Crested Hummingbird (Barbados),Orthorhyncus cristatus cristatus,Caprimulgiformes,Trochilidae (Hummingbirds),,anchum1
4759,issf,anchum5,Antillean Crested Hummingbird (Grenadines and Grenada),Orthorhyncus cristatus emigrans,Caprimulgiformes,Trochilidae (Hummingbirds),,anchum1
4760,species,vihhum1,Violet-headed Hummingbird,Klais guimeti,Caprimulgiformes,Trochilidae (Hummingbirds),,
4764,species,emchum1,Emerald-chinned Hummingbird,Abeillia abeillei,Caprimulgiformes,Trochilidae (Hummingbirds),,
4767,species,samblo1,Santa Marta Blossomcrown,Anthocephala floriceps,Caprimulgiformes,Trochilidae (Hummingbirds),,
4768,species,tolblo1,Tolima Blossomcrown,Anthocephala berlepschi,Caprimulgiformes,Trochilidae (Hummingbirds),,
4769,species,plover3,Green-crowned Plovercrest,Stephanoxis lalandi,Caprimulgiformes,Trochilidae (Hummingbirds),,
4770,species,plover4,Purple-crowned Plovercrest,Stephanoxis loddigesii,Caprimulgiformes,Trochilidae (Hummingbirds),,
4771,species,scbhum1,Scaly-breasted Hummingbird,Phaeochroa cuvierii,Caprimulgiformes,Trochilidae (Hummingbirds),,
4772,issf,scbhum2,Scaly-breasted Hummingbird (Robert's),Phaeochroa cuvierii roberti,Caprimulgiformes,Trochilidae (Hummingbirds),,scbhum1
4773,issf,scbhum3,Scaly-breasted Hummingbird (Cuvier's),Phaeochroa cuvierii [cuvierii Group],Caprimulgiformes,Trochilidae (Hummingbirds),,scbhum1
4778,species,wetsab1,Wedge-tailed Sabrewing,Campylopterus curvipennis,Caprimulgiformes,Trochilidae (Hummingbirds),,
4779,issf,wetsab2,Wedge-tailed Sabrewing (Curve-winged),Campylopterus curvipennis curvipennis,Caprimulgiformes,Trochilidae (Hummingbirds),,wetsab1
4780,issf,wetsab3,Wedge-tailed Sabrewing (Wedge-tailed),Campylopterus curvipennis pampa,Caprimulgiformes,Trochilidae (Hummingbirds),,wetsab1
4781,species,lotsab1,Long-tailed Sabrewing,Campylopterus excellens,Caprimulgiformes,Trochilidae (Hummingbirds),,
4782,species,gybsab1,Gray-breasted Sabrewing,Campylopterus largipennis,Caprimulgiformes,Trochilidae (Hummingbirds),,
4783,issf,gybsab2,Gray-breasted Sabrewing (largipennis),Campylopterus largipennis largipennis,Caprimulgiformes,Trochilidae (Hummingbirds),,gybsab1
4784,issf,gybsab3,Gray-breasted Sabrewing (obscurus),Campylopterus largipennis obscurus,Caprimulgiformes,Trochilidae (Hummingbirds),,gybsab1
4785,issf,gybsab5,Gray-breasted Sabrewing (diamantinensis),Campylopterus largipennis diamantinensis,Caprimulgiformes,Trochilidae (Hummingbirds),,gybsab1
4786,species,gybsab4,Dry-forest Sabrewing,Campylopterus calcirupicola,Caprimulgiformes,Trochilidae (Hummingbirds),,
4787,species,rufsab1,Rufous Sabrewing,Campylopterus rufus,Caprimulgiformes,Trochilidae (Hummingbirds),,
4788,species,viosab1,Violet Sabrewing,Campylopterus hemileucurus,Caprimulgiformes,Trochilidae (Hummingbirds),,
4791,species,rubsab1,Rufous-breasted Sabrewing,Campylopterus hyperythrus,Caprimulgiformes,Trochilidae (Hummingbirds),,
4792,species,whtsab1,White-tailed Sabrewing,Campylopterus ensipennis,Caprimulgiformes,Trochilidae (Hummingbirds),,
4793,species,lazsab1,Lazuline Sabrewing,Campylopterus falcatus,Caprimulgiformes,Trochilidae (Hummingbirds),,
4794,species,samsab1,Santa Marta Sabrewing,Campylopterus phainopeplus,Caprimulgiformes,Trochilidae (Hummingbirds),,
4795,species,napsab1,Napo Sabrewing,Campylopterus villaviscensio,Caprimulgiformes,Trochilidae (Hummingbirds),,
4796,species,bubsab1,Buff-breasted Sabrewing,Campylopterus duidae,Caprimulgiformes,Trochilidae (Hummingbirds),,
4799,species,swthum1,Swallow-tailed Hummingbird,Eupetomena macroura,Caprimulgiformes,Trochilidae (Hummingbirds),,
4805,species,whvplu1,White-vented Plumeleteer,Chalybura buffonii,Caprimulgiformes,Trochilidae (Hummingbirds),,
4806,issf,whvplu2,White-vented Plumeleteer (White-vented),Chalybura buffonii [buffonii Group],Caprimulgiformes,Trochilidae (Hummingbirds),,whvplu1
4810,issf,whvplu3,White-vented Plumeleteer (Blue-bellied),Chalybura buffonii caeruleogaster,Caprimulgiformes,Trochilidae (Hummingbirds),,whvplu1
4811,issf,whvplu4,White-vented Plumeleteer (Ecuadorian),Chalybura buffonii intermedia,Caprimulgiformes,Trochilidae (Hummingbirds),,whvplu1
4812,species,brtplu1,Bronze-tailed Plumeleteer,Chalybura urochrysia,Caprimulgiformes,Trochilidae (Hummingbirds),,
4816,species,mexwoo1,Mexican Woodnymph,Thalurania ridgwayi,Caprimulgiformes,Trochilidae (Hummingbirds),,
4817,species,crowoo1,Crowned Woodnymph,Thalurania colombica,Caprimulgiformes,Trochilidae (Hummingbirds),,
4818,form,vicwoo1,Crowned Woodnymph (Violet-crowned Woodnymph),Thalurania colombica (Violet-crowned Woodnymph),Caprimulgiformes,Trochilidae (Hummingbirds),,crowoo1
4819,issf,vicwoo3,Crowned Woodnymph (Northern Violet-crowned),Thalurania colombica venusta/townsendi,Caprimulgiformes,Trochilidae (Hummingbirds),,crowoo1
4822,issf,vicwoo4,Crowned Woodnymph (Colombian Violet-crowned),Thalurania colombica colombica/rostrifera,Caprimulgiformes,Trochilidae (Hummingbirds),,crowoo1
4825,form,grcwoo2,Crowned Woodnymph (Green-crowned Woodnymph),Thalurania colombica (Green-crowned Woodnymph),Caprimulgiformes,Trochilidae (Hummingbirds),,crowoo1
4826,issf,gncwoo1,Crowned Woodnymph (Northern Green-crowned),Thalurania colombica [fannyae Group],Caprimulgiformes,Trochilidae (Hummingbirds),,crowoo1
4830,issf,gncwoo2,Crowned Woodnymph (Emerald-bellied),Thalurania colombica hypochlora,Caprimulgiformes,Trochilidae (Hummingbirds),,crowoo1
4831,species,fotwoo1,Fork-tailed Woodnymph,Thalurania furcata,Caprimulgiformes,Trochilidae (Hummingbirds),,
4844,species,lotwoo2,Long-tailed Woodnymph,Thalurania watertonii,Caprimulgiformes,Trochilidae (Hummingbirds),,
4845,species,vicwoo2,Violet-capped Woodnymph,Thalurania glaucopis,Caprimulgiformes,Trochilidae (Hummingbirds),,
4846,slash,y01132,Fork-tailed/Violet-capped Woodnymph,Thalurania furcata/glaucopis,Caprimulgiformes,Trochilidae (Hummingbirds),,
4847,species,stthum1,Stripe-tailed Hummingbird,Eupherusa eximia,Caprimulgiformes,Trochilidae (Hummingbirds),,
4851,species,blchum2,Blue-capped Hummingbird,Eupherusa cyanophrys,Caprimulgiformes,Trochilidae (Hummingbirds),,
4852,species,whthum1,White-tailed Hummingbird,Eupherusa poliocerca,Caprimulgiformes,Trochilidae (Hummingbirds),,
4853,species,blbhum1,Black-bellied Hummingbird,Eupherusa nigriventris,Caprimulgiformes,Trochilidae (Hummingbirds),,
4854,species,whteme1,White-tailed Emerald,Elvira chionura,Caprimulgiformes,Trochilidae (Hummingbirds),,
4855,species,coheme1,Coppery-headed Emerald,Elvira cupreiceps,Caprimulgiformes,Trochilidae (Hummingbirds),,
4856,species,snowca1,Snowcap,Microchera albocoronata,Caprimulgiformes,Trochilidae (Hummingbirds),,
4859,species,somhum1,Sombre Hummingbird,Aphantochroa cirrochloris,Caprimulgiformes,Trochilidae (Hummingbirds),,
4860,species,mashum1,Many-spotted Hummingbird,Taphrospilus hypostictus,Caprimulgiformes,Trochilidae (Hummingbirds),,
4861,species,whthum2,White-throated Hummingbird,Leucochloris albicollis,Caprimulgiformes,Trochilidae (Hummingbirds),,
4862,species,bufhum1,Buffy Hummingbird,Leucippus fallax,Caprimulgiformes,Trochilidae (Hummingbirds),,
4863,species,tumhum1,Tumbes Hummingbird,Leucippus baeri,Caprimulgiformes,Trochilidae (Hummingbirds),,
4864,species,spthum2,Spot-throated Hummingbird,Leucippus taczanowskii,Caprimulgiformes,Trochilidae (Hummingbirds),,
4865,species,olshum1,Olive-spotted Hummingbird,Leucippus chlorocercus,Caprimulgiformes,Trochilidae (Hummingbirds),,
4866,species,whbhum1,White-bellied Hummingbird,Amazilia chionogaster,Caprimulgiformes,Trochilidae (Hummingbirds),,
4869,species,gawhum1,Green-and-white Hummingbird,Amazilia viridicauda,Caprimulgiformes,Trochilidae (Hummingbirds),,
4870,species,chbhum1,Chestnut-bellied Hummingbird,Amazilia castaneiventris,Caprimulgiformes,Trochilidae (Hummingbirds),,
4871,species,amahum1,Amazilia Hummingbird,Amazilia amazilia,Caprimulgiformes,Trochilidae (Hummingbirds),,
4872,issf,amahum2,Amazilia Hummingbird (White-throated),Amazilia amazilia [dumerilii Group],Caprimulgiformes,Trochilidae (Hummingbirds),,amahum1
4877,issf,amahum4,Amazilia Hummingbird (Green-throated),Amazilia amazilia amazilia,Caprimulgiformes,Trochilidae (Hummingbirds),,amahum1
4878,issf,amahum5,Amazilia Hummingbird (Blue-throated),Amazilia amazilia caeruleigularis,Caprimulgiformes,Trochilidae (Hummingbirds),,amahum1
4879,species,whbeme1,White-bellied Emerald,Amazilia candida,Caprimulgiformes,Trochilidae (Hummingbirds),,
4883,species,honeme1,Honduran Emerald,Amazilia luciae,Caprimulgiformes,Trochilidae (Hummingbirds),,
4884,species,whceme1,White-chested Emerald,Amazilia brevirostris,Caprimulgiformes,Trochilidae (Hummingbirds),,
4888,species,plbeme1,Plain-bellied Emerald,Amazilia leucogaster,Caprimulgiformes,Trochilidae (Hummingbirds),,
4891,species,vereme1,Versicolored Emerald,Amazilia versicolor,Caprimulgiformes,Trochilidae (Hummingbirds),,
4892,issf,vereme2,Versicolored Emerald (Versicolored),Amazilia versicolor [versicolor Group],Caprimulgiformes,Trochilidae (Hummingbirds),,vereme1
4898,issf,vereme3,Versicolored Emerald (Rondonia),Amazilia versicolor rondoniae,Caprimulgiformes,Trochilidae (Hummingbirds),,vereme1
4899,species,andeme1,Andean Emerald,Amazilia franciae,Caprimulgiformes,Trochilidae (Hummingbirds),,
4903,species,glteme1,Glittering-throated Emerald,Amazilia fimbriata,Caprimulgiformes,Trochilidae (Hummingbirds),,
4912,species,saseme1,Sapphire-spangled Emerald,Amazilia lactea,Caprimulgiformes,Trochilidae (Hummingbirds),,
4913,issf,saseme2,Sapphire-spangled Emerald (Sapphire-spangled),Amazilia lactea lactea/zimmeri,Caprimulgiformes,Trochilidae (Hummingbirds),,saseme1
4916,issf,saseme3,Sapphire-spangled Emerald (Spot-vented),Amazilia lactea bartletti,Caprimulgiformes,Trochilidae (Hummingbirds),,saseme1
4917,species,blchum1,Blue-chested Hummingbird,Amazilia amabilis,Caprimulgiformes,Trochilidae (Hummingbirds),,
4918,species,chahum1,Charming Hummingbird,Amazilia decora,Caprimulgiformes,Trochilidae (Hummingbirds),,
4919,species,puchum1,Purple-chested Hummingbird,Amazilia rosenbergi,Caprimulgiformes,Trochilidae (Hummingbirds),,
4920,species,manhum1,Mangrove Hummingbird,Amazilia boucardi,Caprimulgiformes,Trochilidae (Hummingbirds),,
4921,species,azchum1,Azure-crowned Hummingbird,Amazilia cyanocephala,Caprimulgiformes,Trochilidae (Hummingbirds),,
4922,issf,azchum2,Azure-crowned Hummingbird (Azure-crowned),Amazilia cyanocephala cyanocephala,Caprimulgiformes,Trochilidae (Hummingbirds),,azchum1
4923,issf,azchum3,Azure-crowned Hummingbird (Mosquitia),Amazilia cyanocephala chlorostephana,Caprimulgiformes,Trochilidae (Hummingbirds),,azchum1
4924,hybrid,x00916,Honduran Emerald x Azure-crowned Hummingbird (hybrid),Amazilia luciae x cyanocephala,Caprimulgiformes,Trochilidae (Hummingbirds),,
4925,species,berhum,Berylline Hummingbird,Amazilia beryllina,Caprimulgiformes,Trochilidae (Hummingbirds),,
4926,issf,berhum1,Berylline Hummingbird (Northern),Amazilia beryllina beryllina/viola,Caprimulgiformes,Trochilidae (Hummingbirds),,berhum
4929,issf,berhum2,Berylline Hummingbird (Sumichrast's),Amazilia beryllina [devillei Group],Caprimulgiformes,Trochilidae (Hummingbirds),,berhum
4933,hybrid,mxbhum1,Rivoli's x Berylline Hummingbird (hybrid),Eugenes fulgens x Amazilia beryllina,Caprimulgiformes,Trochilidae (Hummingbirds),,
4934,species,blthum1,Blue-tailed Hummingbird,Amazilia cyanura,Caprimulgiformes,Trochilidae (Hummingbirds),,
4938,species,stvhum2,Steely-vented Hummingbird,Amazilia saucerottei,Caprimulgiformes,Trochilidae (Hummingbirds),,
4942,species,buvhum1,Blue-vented Hummingbird,Amazilia hoffmanni,Caprimulgiformes,Trochilidae (Hummingbirds),,
4943,species,inchum1,Indigo-capped Hummingbird,Amazilia cyanifrons,Caprimulgiformes,Trochilidae (Hummingbirds),,
4944,form,guahum1,Guanacaste Hummingbird (unrecognized species),Amazilia alfaroana [unrecognized species],Caprimulgiformes,Trochilidae (Hummingbirds),,
4945,species,snbhum1,Snowy-bellied Hummingbird,Amazilia edward,Caprimulgiformes,Trochilidae (Hummingbirds),,
4950,species,grbhum1,Green-bellied Hummingbird,Amazilia viridigaster,Caprimulgiformes,Trochilidae (Hummingbirds),,
4951,issf,gnbhum1,Green-bellied Hummingbird (Green-bellied),Amazilia viridigaster [viridigaster Group],Caprimulgiformes,Trochilidae (Hummingbirds),,grbhum1
4955,issf,gnbhum2,Green-bellied Hummingbird (Copper-tailed),Amazilia viridigaster [cupreicauda Group],Caprimulgiformes,Trochilidae (Hummingbirds),,grbhum1
4959,species,rtlhum,Rufous-tailed Hummingbird,Amazilia tzacatl,Caprimulgiformes,Trochilidae (Hummingbirds),,
4960,issf,ruthum2,Rufous-tailed Hummingbird (Rufous-tailed),Amazilia tzacatl [tzacatl Group],Caprimulgiformes,Trochilidae (Hummingbirds),,rtlhum
4965,issf,ruthum3,Rufous-tailed Hummingbird (Escudo),Amazilia tzacatl handleyi,Caprimulgiformes,Trochilidae (Hummingbirds),,rtlhum
4966,species,bubhum,Buff-bellied Hummingbird,Amazilia yucatanensis,Caprimulgiformes,Trochilidae (Hummingbirds),,
4967,issf,bubhum1,Buff-bellied Hummingbird (Yucatan),Amazilia yucatanensis yucatanensis,Caprimulgiformes,Trochilidae (Hummingbirds),,bubhum
4968,issf,bubhum2,Buff-bellied Hummingbird (Northern),Amazilia yucatanensis cerviniventris/chalconota,Caprimulgiformes,Trochilidae (Hummingbirds),,bubhum
4971,species,cinhum1,Cinnamon Hummingbird,Amazilia rutila,Caprimulgiformes,Trochilidae (Hummingbirds),,
4972,issf,cinhum2,Cinnamon Hummingbird (Tres Marias Is.),Amazilia rutila graysoni,Caprimulgiformes,Trochilidae (Hummingbirds),,cinhum1
4973,issf,cinhum3,Cinnamon Hummingbird (Mainland),Amazilia rutila [rutila Group],Caprimulgiformes,Trochilidae (Hummingbirds),,cinhum1
4977,hybrid,x00947,Rufous-tailed x Cinnamon Hummingbird (hybrid),Amazilia tzacatl x rutila,Caprimulgiformes,Trochilidae (Hummingbirds),,
4978,species,vichum,Violet-crowned Hummingbird,Amazilia violiceps,Caprimulgiformes,Trochilidae (Hummingbirds),,
4981,hybrid,x00633,Broad-billed x Violet-crowned Hummingbird (hybrid),Cynanthus latirostris x Amazilia violiceps,Caprimulgiformes,Trochilidae (Hummingbirds),,
4982,species,grfhum1,Green-fronted Hummingbird,Amazilia viridifrons,Caprimulgiformes,Trochilidae (Hummingbirds),,
4983,issf,gnfhum1,Green-fronted Hummingbird (Green-fronted),Amazilia viridifrons viridifrons,Caprimulgiformes,Trochilidae (Hummingbirds),,grfhum1
4984,issf,gnfhum2,Green-fronted Hummingbird (Cinnamon-sided),Amazilia viridifrons wagneri,Caprimulgiformes,Trochilidae (Hummingbirds),,grfhum1
4985,species,corhum1,Copper-rumped Hummingbird,Amazilia tobaci,Caprimulgiformes,Trochilidae (Hummingbirds),,
4993,spuh,amazil1,Amazilia sp.,Amazilia sp.,Caprimulgiformes,Trochilidae (Hummingbirds),,
4994,species,gotsap1,Golden-tailed Sapphire,Chrysuronia oenone,Caprimulgiformes,Trochilidae (Hummingbirds),,
4998,species,ruchum1,Pirre Hummingbird,Goethalsia bella,Caprimulgiformes,Trochilidae (Hummingbirds),,
4999,species,vichum1,Violet-capped Hummingbird,Goldmania violiceps,Caprimulgiformes,Trochilidae (Hummingbirds),,
5000,species,stream1,Streamertail,Trochilus polytmus,Caprimulgiformes,Trochilidae (Hummingbirds),,
5001,issf,stream2,Streamertail (Red-billed),Trochilus polytmus polytmus,Caprimulgiformes,Trochilidae (Hummingbirds),,stream1
5002,issf,stream3,Streamertail (Black-billed),Trochilus polytmus scitulus,Caprimulgiformes,Trochilidae (Hummingbirds),,stream1
5003,intergrade,stream4,Streamertail (Red-billed x Black-billed),Trochilus polytmus polytmus x scitulus,Caprimulgiformes,Trochilidae (Hummingbirds),,stream1
5004,species,sathum1,Sapphire-throated Hummingbird,Lepidopyga coeruleogularis,Caprimulgiformes,Trochilidae (Hummingbirds),,
5008,species,sabhum1,Sapphire-bellied Hummingbird,Lepidopyga lilliae,Caprimulgiformes,Trochilidae (Hummingbirds),,
5009,species,shghum1,Shining-green Hummingbird,Lepidopyga goudoti,Caprimulgiformes,Trochilidae (Hummingbirds),,
5014,spuh,lepido3,Lepidopyga sp.,Lepidopyga sp.,Caprimulgiformes,Trochilidae (Hummingbirds),,
5015,species,vibhum1,Violet-bellied Hummingbird,Juliamyia julie,Caprimulgiformes,Trochilidae (Hummingbirds),,
5019,species,humsap2,Humboldt's Sapphire,Hylocharis humboldtii,Caprimulgiformes,Trochilidae (Hummingbirds),,
5020,species,bltgol1,Blue-throated Goldentail,Hylocharis eliciae,Caprimulgiformes,Trochilidae (Hummingbirds),,
5023,species,rutsap1,Rufous-throated Sapphire,Hylocharis sapphirina,Caprimulgiformes,Trochilidae (Hummingbirds),,
5024,species,whcsap1,White-chinned Sapphire,Hylocharis cyanus,Caprimulgiformes,Trochilidae (Hummingbirds),,
5030,species,gilhum1,Gilded Hummingbird,Hylocharis chrysura,Caprimulgiformes,Trochilidae (Hummingbirds),,
5031,species,blhsap1,Blue-headed Sapphire,Hylocharis grayi,Caprimulgiformes,Trochilidae (Hummingbirds),,
5032,species,whehum,White-eared Hummingbird,Hylocharis leucotis,Caprimulgiformes,Trochilidae (Hummingbirds),,
5036,species,xanhum,Xantus's Hummingbird,Hylocharis xantusii,Caprimulgiformes,Trochilidae (Hummingbirds),,
5037,hybrid,bogsun2,Bogota Sunangel (hybrid),Aglaiocercus kingii x Trochilidae sp. (Bogota Sunangel),Caprimulgiformes,Trochilidae (Hummingbirds),,
5038,spuh,hummin,hummingbird sp.,Trochilidae sp.,Caprimulgiformes,Trochilidae (Hummingbirds),,
5039,species,hoatzi1,Hoatzin,Opisthocomus hoazin,Opisthocomiformes,Opisthocomidae (Hoatzin),Hoatzin,
5040,species,madwor1,Madagascar Wood-Rail,Mentrocrex kioloides,Gruiformes,Sarothruridae (Flufftails),Flufftails,
5043,species,tsiwor1,Tsingy Wood-Rail,Mentrocrex beankaensis,Gruiformes,Sarothruridae (Flufftails),,
5044,species,whsflu1,White-spotted Flufftail,Sarothrura pulchra,Gruiformes,Sarothruridae (Flufftails),,
5045,issf,whsflu2,White-spotted Flufftail (Northern),Sarothrura pulchra [pulchra Group],Gruiformes,Sarothruridae (Flufftails),,whsflu1
5049,issf,whsflu3,White-spotted Flufftail (Southern),Sarothrura pulchra centralis,Gruiformes,Sarothruridae (Flufftails),,whsflu1
5050,species,busflu1,Buff-spotted Flufftail,Sarothrura elegans,Gruiformes,Sarothruridae (Flufftails),,
5053,species,recflu1,Red-chested Flufftail,Sarothrura rufa,Gruiformes,Sarothruridae (Flufftails),,
5057,species,chhflu1,Chestnut-headed Flufftail,Sarothrura lugens,Gruiformes,Sarothruridae (Flufftails),,
5060,species,stbflu1,Streaky-breasted Flufftail,Sarothrura boehmi,Gruiformes,Sarothruridae (Flufftails),,
5061,species,strflu1,Striped Flufftail,Sarothrura affinis,Gruiformes,Sarothruridae (Flufftails),,
5064,species,madflu1,Madagascar Flufftail,Sarothrura insularis,Gruiformes,Sarothruridae (Flufftails),,
5065,species,whwflu1,White-winged Flufftail,Sarothrura ayresi,Gruiformes,Sarothruridae (Flufftails),,
5066,species,slbflu1,Slender-billed Flufftail,Sarothrura watersi,Gruiformes,Sarothruridae (Flufftails),,
5067,spuh,flufft1,flufftail sp.,Sarothrura sp.,Gruiformes,Sarothruridae (Flufftails),,
5068,species,ridrai1,Ridgway's Rail,Rallus obsoletus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",
5069,issf,clarai3,Ridgway's Rail (San Francisco Bay),Rallus obsoletus obsoletus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",,ridrai1
5070,issf,clarai4,Ridgway's Rail (Light-footed),Rallus obsoletus levipes,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",,ridrai1
5071,issf,clarai6,Ridgway's Rail (South Baja),Rallus obsoletus beldingi,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",,ridrai1
5072,issf,clarai5,Ridgway's Rail (Yuma),Rallus obsoletus yumanensis,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",,ridrai1
5073,species,kinrai2,Aztec Rail,Rallus tenuirostris,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",,
5074,species,manrai1,Mangrove Rail,Rallus longirostris,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",,
5075,issf,manrai2,Mangrove Rail (Fonseca),Rallus longirostris berryorum,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",,manrai1
5076,issf,clarai10,Mangrove Rail (Ecuadorian),Rallus longirostris cypereti,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",,manrai1
5077,issf,clarai8,Mangrove Rail (Atlantic),Rallus longirostris [longirostris Group],Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",,manrai1
5083,species,kinrai4,King Rail,Rallus elegans,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",,
5084,issf,kinrai1,King Rail (Northern),Rallus elegans elegans,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",,kinrai4
5085,issf,kinrai3,King Rail (Cuban),Rallus elegans ramsdeni,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",,kinrai4
5086,slash,kinrai,Aztec/King Rail,Rallus tenuirostris/elegans,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",,
5087,species,clarai11,Clapper Rail,Rallus crepitans,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",,
